Cancer	Variable	Pvalue	MeanHigh	MeanLow	ConfLow	ConfHigh	EffectSize	FDR	Sig	HighExtendFrac	LowExtendFrac	HighClass
ACC	B.cells.naive	0.604088333650556	0.0152452276114427	0.0118279202098771	-0.00978012526428506	0.0166147400674162	0.133860801617613	0.784445641898744	NS	0.41025641025641	0.58974358974359	High
ACC	B.cells.memory	0.709181282559505	0.022645953940061	0.0255157520816807	-0.0181413746900734	0.012401778406834	-0.0826871208913123	0.850280238331454	NS	0.41025641025641	0.58974358974359	Low
ACC	Plasma.cells	0.724537105779383	0.0164213909430232	0.0191334660076906	-0.0180074039347053	0.0125832538053705	-0.0812368129525492	0.860387813113017	NS	0.41025641025641	0.58974358974359	Low
ACC	T.cells.CD8	0.112441275208512	0.0889975058712953	0.114108571729628	-0.0562552211091504	0.00603308939248461	-0.342001341278884	0.326034540966048	NS	0.41025641025641	0.58974358974359	Low
ACC	T.cells.CD4.naive	0.916924043538403	0.0289323687478277	0.0304521972024719	-0.0304779089381807	0.0274382520288922	-0.023819802894735	0.956675085888333	NS	0.41025641025641	0.58974358974359	Low
ACC	T.cells.CD4.memory.resting	0.433808970356542	0.162188204898295	0.14446673158578	-0.0272927158140954	0.0627356624391255	0.188511064837538	0.658738687680994	NS	0.41025641025641	0.58974358974359	High
ACC	T.cells.CD4.memory.activated	0.357291619012884	0.0018747964580117	0.000119540284432712	-0.00207492832154765	0.00558544066870563	0.258049445313441	0.600596835759568	NS	0.41025641025641	0.58974358974359	High
ACC	T.cells.follicular.helper	0.805829002266086	0.0186627992281922	0.0171653304446846	-0.010630366224175	0.0136253037911902	0.0581272022173197	0.910498497083121	NS	0.41025641025641	0.58974358974359	High
ACC	T.cells.regulatory..Tregs.	0.0303866996343954	0.00125748978630603	0.00803828033830001	-0.0128938968239089	-0.000667684280079061	-0.43491843179583	0.130590459143057	NS	0.41025641025641	0.58974358974359	Low
ACC	T.cells.gamma.delta	NA	0	0	NA	NA	NA	NA	NA	0.41025641025641	0.58974358974359	Low
ACC	NK.cells.resting	0.00163479986619924	0.0446733637263588	0.0162570877244848	0.0113365343728109	0.045496017630937	0.84519397665588	0.0180281442399215	Sig	0.41025641025641	0.58974358974359	High
ACC	NK.cells.activated	0.658198456892764	0.036855714317031	0.0399315334378733	-0.0168840551563178	0.0107324169146332	-0.10102222041183	0.822178695288193	NS	0.41025641025641	0.58974358974359	Low
ACC	Monocytes	0.245159832718937	0.0901309475305695	0.073894095302033	-0.0115090504312225	0.0439827548882955	0.292871182677267	0.497732414061932	NS	0.41025641025641	0.58974358974359	High
ACC	Macrophages.M0	0.00403374629934703	0.0442985350640725	0.00260766291899837	0.0142835432240436	0.0690982010661046	0.850506962291449	0.0330950548650972	Sig	0.41025641025641	0.58974358974359	High
ACC	Macrophages.M1	0.689290390218796	0.00838917759834641	0.0102893195015424	-0.0113778205042888	0.0075775366978967	-0.0975608798657561	0.836843094603359	NS	0.41025641025641	0.58974358974359	Low
ACC	Macrophages.M2	0.0104959058999968	0.265373773032614	0.351914816467419	-0.152042023839424	-0.0210400630301855	-0.629861775800645	0.0676611076767652	NS	0.41025641025641	0.58974358974359	Low
ACC	Dendritic.cells.resting	0.765651324149459	0.000738129635916798	0.000899979618928994	-0.00124161997458497	0.000917920008560581	-0.0692719400121744	0.88874639234069	NS	0.41025641025641	0.58974358974359	Low
ACC	Dendritic.cells.activated	0.536583341923631	0.0679154812956671	0.0554213395779146	-0.0277398128551176	0.0527280962906226	0.148620470982975	0.73933811616195	NS	0.41025641025641	0.58974358974359	High
ACC	Mast.cells.resting	0.988516879577778	0.0633496246335977	0.0631452253665382	-0.0280528067082271	0.0284616052423462	0.00335798651545676	0.994942353437916	NS	0.41025641025641	0.58974358974359	High
ACC	Mast.cells.activated	0.820658984215662	0.0119509964855383	0.0102889950715767	-0.0129170760350739	0.016241078862997	0.0525613753053947	0.918629126517376	NS	0.41025641025641	0.58974358974359	High
ACC	Eosinophils	0.12073240500785	0.00969553756813087	0.00331875461365577	-0.00173781739483286	0.014491383303783	0.391111376915971	0.339564006155629	NS	0.41025641025641	0.58974358974359	High
ACC	Neutrophils	0.204544756538446	0.000402981627702037	0.00120340051448917	-0.00204709590375168	0.000446258130177406	-0.263357814837178	0.454404043756178	NS	0.41025641025641	0.58974358974359	Low
BLCA	B.cells.naive	0.0241143061001561	0.0256236574079134	0.0392546575096972	-0.0254675272495995	-0.00179447295396807	-0.220529403695451	0.116328729014434	NS	0.47029702970297	0.52970297029703	Low
BLCA	B.cells.memory	0.844989495254244	0.0476495318763279	0.0463267918086839	-0.0119704769605174	0.0146159570958056	0.0195715030489006	0.931033632205481	NS	0.47029702970297	0.52970297029703	High
BLCA	Plasma.cells	0.413556575956831	0.0508519415247899	0.0559806224231305	-0.0174471626253756	0.00718980082869453	-0.0813751168988278	0.64298109030761	NS	0.47029702970297	0.52970297029703	Low
BLCA	T.cells.CD8	0.114657213598935	0.134207637326867	0.121085039887736	-0.00319495901936039	0.0294401538976222	0.158029162915453	0.329810789714865	NS	0.47029702970297	0.52970297029703	High
BLCA	T.cells.CD4.naive	0.00164800210503438	0.0439131871807561	0.0212133140469563	0.00863372255826446	0.0367660237093352	0.323752939384287	0.0180281442399215	Sig	0.47029702970297	0.52970297029703	High
BLCA	T.cells.CD4.memory.resting	0.0024777525817774	0.0343451078212402	0.0513375716902986	-0.0279619229734582	-0.00602300476465854	-0.298076823421769	0.0235386495268853	Sig	0.47029702970297	0.52970297029703	Low
BLCA	T.cells.CD4.memory.activated	0.224037273716801	0.0107342968977861	0.00804353405304471	-0.00165352039118501	0.00703504608066781	0.121883396766113	0.475749740069207	NS	0.47029702970297	0.52970297029703	High
BLCA	T.cells.follicular.helper	0.0536225790832799	0.0990824155253658	0.0869730469390868	-0.000189825490437098	0.0244085626629951	0.195026323954103	0.191660901475881	NS	0.47029702970297	0.52970297029703	High
BLCA	T.cells.regulatory..Tregs.	6.88052821175215e-06	0.0177260505623074	0.0318760278071393	-0.0202519590619495	-0.00804799542771433	-0.444066390690509	0.000198475665766221	Sig	0.47029702970297	0.52970297029703	Low
BLCA	T.cells.gamma.delta	0.817112529710385	0.000926667890495468	0.000820969527122779	-0.000792346100215466	0.00100374282696084	0.023146283290814	0.917504271307773	NS	0.47029702970297	0.52970297029703	High
BLCA	NK.cells.resting	0.00152437022811693	0.023420568756133	0.0142007974388864	0.00354363835222864	0.0148959042822647	0.320985790513759	0.0174257721167054	Sig	0.47029702970297	0.52970297029703	High
BLCA	NK.cells.activated	0.678742357055717	0.0302572153400104	0.0315456278986637	-0.00740005932194815	0.00482323420464172	-0.0414336228881647	0.832006760261847	NS	0.47029702970297	0.52970297029703	Low
BLCA	Monocytes	0.0358138287699902	0.0226763392734504	0.0287452534581444	-0.0117336957597377	-0.00040413260965041	-0.209677574050317	0.14559368300375	NS	0.47029702970297	0.52970297029703	Low
BLCA	Macrophages.M0	0.526624231746358	0.0663186150096438	0.0603376009051673	-0.012573018014037	0.02453504622299	0.0628448254800842	0.732606349365838	NS	0.47029702970297	0.52970297029703	High
BLCA	Macrophages.M1	0.560216445036986	0.0499937083430672	0.0470146081538071	-0.00706647250030591	0.013024672878826	0.0578406815683867	0.758867304534154	NS	0.47029702970297	0.52970297029703	High
BLCA	Macrophages.M2	0.222314924252616	0.207096875829288	0.221567190097095	-0.037745973614624	0.00880534507901025	-0.122352925856788	0.4734848829215	NS	0.47029702970297	0.52970297029703	Low
BLCA	Dendritic.cells.resting	0.366364134423584	0.0170252781273397	0.0202338101473709	-0.0101839586816059	0.00376689464154348	-0.0902549574058365	0.603915308342072	NS	0.47029702970297	0.52970297029703	Low
BLCA	Dendritic.cells.activated	0.0207903428315163	0.0542045738941502	0.040037786020377	0.0021696435979937	0.0261639321495528	0.23551820239751	0.107990126074494	NS	0.47029702970297	0.52970297029703	High
BLCA	Mast.cells.resting	1.17522034662187e-05	0.0251501352259764	0.0478872286484079	-0.03280851960126	-0.0126656672436029	-0.433801522926718	0.000303038960807496	Sig	0.47029702970297	0.52970297029703	Low
BLCA	Mast.cells.activated	0.00374613146723361	0.0309033884999528	0.018598176961329	0.00401029617835509	0.0206001268988925	0.291824762554997	0.0314500804574729	Sig	0.47029702970297	0.52970297029703	High
BLCA	Eosinophils	0.964277759625671	0.00150914946145408	0.00153866216135486	-0.00132415231935329	0.00126512691955173	-0.00439315437045071	0.984736269377276	NS	0.47029702970297	0.52970297029703	Low
BLCA	Neutrophils	0.481303583123923	0.00638365822568433	0.00538168241650024	-0.00179348665559875	0.00379743827396692	0.0711699114629827	0.69283716541359	NS	0.47029702970297	0.52970297029703	High
BRCA	B.cells.naive	4.18958908910359e-06	0.044435238549325	0.057091739487888	-0.0180252814303044	-0.00728772044682151	-0.273426643461722	0.000131516666188382	Sig	0.411926605504587	0.588073394495413	Low
BRCA	B.cells.memory	0.436878043651778	0.0120904652617256	0.0109099959367963	-0.0017977134144254	0.004158652064284	0.0463284454960511	0.658738687680994	NS	0.411926605504587	0.588073394495413	High
BRCA	Plasma.cells	0.728841193385818	0.04042189832808	0.0414554024834142	-0.006881885518407	0.00481487720773858	-0.0207052606893223	0.862661215777968	NS	0.411926605504587	0.588073394495413	Low
